"rid","aircraft","airport","model","impact","flight_date","damage","airline","origin","flight_phase","wildlife_size","sky_conditions","pilot_warned_flag","altitude_ft","heavy_flag"
1,"Airplane","JFK International","A320","None","2023-03-15 0:00","No damage","Delta Airlines","New York","Approach","Small","No Cloud","N",200,"No"
2,"Airplane","LAX","B737-800","Engine Shut Down","2023-03-15 0:00","Damage","United Airlines","California","Climb","Medium","Some Cloud","Y",1500,"Yes"
3,"Airplane","O'Hare International","B747","None","2023-03-15 0:00","No damage","American Airlines","Illinois","Approach","Small","Overcast","N",100,"No"
4,"Airplane","Heathrow","A380","None","2023-03-15 0:00","No damage","British Airways","United Kingdom","Climb","Medium","No Cloud","N",2000,"No"
5,"Airplane","Charles de Gaulle","B787","Precautionary Landing","2023-03-15 0:00","Damage","Air France","France","Approach","Large","Some Cloud","Y",500,"Yes"
6,"Airplane","Rajiv Gandhi International","A320","None","2023-03-15 0:00","No damage","New Indigo","Telangana","Approach","Small","Overcast","N",300,"No"
7,"Airplane","logan International","B737","None","2023-03-15 0:00","No damage","spirit","Massachusetts","Climb","Medium","No Cloud","N",1500,"No"
8,"Airplane","San Francisco International","A330","Engine Shut Down","2023-03-15 0:00","Damage","United Airlines","California","Climb","Large","Some Cloud","Y",2000,"Yes"
9,"Airplane","Denver International","B777","None","2023-03-15 0:00","No damage","Delta Airlines","Colorado","Approach","Small","Overcast","N",100,"No"
10,"Airplane","Miami International","A350","None","2023-03-15 0:00","No damage","American Airlines","Florida","Climb","Medium","No Cloud","N",500,"No"
